CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],RESISTANCE [Ω],TOLERANCE [%],DRIFT [ppm/K],TCORNER [°C],TMIN [°C],TMAX [°C],VMAX [V],IMAX [A],PMAX [W],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKP,SUPPLIER1_STATUS,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_220k0_F_100ppmK_VishayDale_CRCW0402220KFKED,0,Resistor 0402 (1005 Metric) 220 kΩ 1 % 100 ppm/K,,R,220 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,220 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402220KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-220KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_220k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT220K,0,Resistor 0402 (1005 Metric) 220 kΩ 1 % 100 ppm/K,,R,220 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,220 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT220K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT220KCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_0402_240k0_F_100ppmK_generic,0,generic Resistor 0402 (1005 Metric) 240 kΩ 1 % 100 ppm/K,,R,240 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,240 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_240k0_F_100ppmK_Yageo_RC0402FR-07240KL, R_0402_240k0_F_100ppmK_VishayDale_CRCW0402240KFKED, R_0402_240k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT240K"
Passive Component / Resistor / Metal thickfilm,specific,R_0402_240k0_F_100ppmK_Yageo_RC0402FR-07240KL,0,Resistor 0402 (1005 Metric) 240 kΩ 1 % 100 ppm/K,,R,240 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,240 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RC0402FR-07240KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,311-240KLRCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_240k0_F_100ppmK_VishayDale_CRCW0402240KFKED,0,Resistor 0402 (1005 Metric) 240 kΩ 1 % 100 ppm/K,,R,240 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,240 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402240KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-240KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_240k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT240K,0,Resistor 0402 (1005 Metric) 240 kΩ 1 % 100 ppm/K,,R,240 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,240 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT240K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT240KCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_0402_270k0_F_100ppmK_generic,0,generic Resistor 0402 (1005 Metric) 270 kΩ 1 % 100 ppm/K,,R,270 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,270 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_270k0_F_100ppmK_Yageo_RC0402FR-07270KL, R_0402_270k0_F_100ppmK_VishayDale_CRCW0402270KFKED, R_0402_270k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT270K"
Passive Component / Resistor / Metal thickfilm,specific,R_0402_270k0_F_100ppmK_Yageo_RC0402FR-07270KL,0,Resistor 0402 (1005 Metric) 270 kΩ 1 % 100 ppm/K,,R,270 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,270 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RC0402FR-07270KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,311-270KLRCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_270k0_F_100ppmK_VishayDale_CRCW0402270KFKED,0,Resistor 0402 (1005 Metric) 270 kΩ 1 % 100 ppm/K,,R,270 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,270 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402270KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-270KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_270k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT270K,0,Resistor 0402 (1005 Metric) 270 kΩ 1 % 100 ppm/K,,R,270 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,270 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT270K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT270KCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_0402_300k0_F_100ppmK_generic,0,generic Resistor 0402 (1005 Metric) 300 kΩ 1 % 100 ppm/K,,R,300 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,300 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_300k0_F_100ppmK_Yageo_RC0402FR-07300KL, R_0402_300k0_F_100ppmK_VishayDale_CRCW0402300KFKED, R_0402_300k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT300K"
Passive Component / Resistor / Metal thickfilm,specific,R_0402_300k0_F_100ppmK_Yageo_RC0402FR-07300KL,0,Resistor 0402 (1005 Metric) 300 kΩ 1 % 100 ppm/K,,R,300 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,300 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RC0402FR-07300KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,311-300KLRCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_300k0_F_100ppmK_VishayDale_CRCW0402300KFKED,0,Resistor 0402 (1005 Metric) 300 kΩ 1 % 100 ppm/K,,R,300 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,300 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402300KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-300KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_300k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT300K,0,Resistor 0402 (1005 Metric) 300 kΩ 1 % 100 ppm/K,,R,300 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,300 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT300K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT300KCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_0402_330k0_F_100ppmK_generic,0,generic Resistor 0402 (1005 Metric) 330 kΩ 1 % 100 ppm/K,,R,330 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,330 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_330k0_F_100ppmK_Yageo_RC0402FR-07330KL, R_0402_330k0_F_100ppmK_VishayDale_CRCW0402330KFKED, R_0402_330k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT330K"
Passive Component / Resistor / Metal thickfilm,specific,R_0402_330k0_F_100ppmK_Yageo_RC0402FR-07330KL,0,Resistor 0402 (1005 Metric) 330 kΩ 1 % 100 ppm/K,,R,330 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,330 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RC0402FR-07330KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,311-330KLRCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_330k0_F_100ppmK_VishayDale_CRCW0402330KFKED,0,Resistor 0402 (1005 Metric) 330 kΩ 1 % 100 ppm/K,,R,330 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,330 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402330KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-330KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_330k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT330K,0,Resistor 0402 (1005 Metric) 330 kΩ 1 % 100 ppm/K,,R,330 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,330 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT330K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT330KCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_0402_360k0_F_100ppmK_generic,0,generic Resistor 0402 (1005 Metric) 360 kΩ 1 % 100 ppm/K,,R,360 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,360 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_360k0_F_100ppmK_Yageo_RC0402FR-07360KL, R_0402_360k0_F_100ppmK_VishayDale_CRCW0402360KFKED, R_0402_360k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT360K"
Passive Component / Resistor / Metal thickfilm,specific,R_0402_360k0_F_100ppmK_Yageo_RC0402FR-07360KL,0,Resistor 0402 (1005 Metric) 360 kΩ 1 % 100 ppm/K,,R,360 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,360 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RC0402FR-07360KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,311-360KLRCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_360k0_F_100ppmK_VishayDale_CRCW0402360KFKED,0,Resistor 0402 (1005 Metric) 360 kΩ 1 % 100 ppm/K,,R,360 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,360 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402360KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-360KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_360k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT360K,0,Resistor 0402 (1005 Metric) 360 kΩ 1 % 100 ppm/K,,R,360 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,360 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT360K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT360KCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_0402_390k0_F_100ppmK_generic,0,generic Resistor 0402 (1005 Metric) 390 kΩ 1 % 100 ppm/K,,R,390 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,390 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_390k0_F_100ppmK_Yageo_RC0402FR-07390KL, R_0402_390k0_F_100ppmK_VishayDale_CRCW0402390KFKED, R_0402_390k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT390K"
Passive Component / Resistor / Metal thickfilm,specific,R_0402_390k0_F_100ppmK_Yageo_RC0402FR-07390KL,0,Resistor 0402 (1005 Metric) 390 kΩ 1 % 100 ppm/K,,R,390 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,390 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RC0402FR-07390KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,YAG3143CT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_390k0_F_100ppmK_VishayDale_CRCW0402390KFKED,0,Resistor 0402 (1005 Metric) 390 kΩ 1 % 100 ppm/K,,R,390 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,390 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402390KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-390KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_390k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT390K,0,Resistor 0402 (1005 Metric) 390 kΩ 1 % 100 ppm/K,,R,390 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,390 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT390K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT390KCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_0402_430k0_F_100ppmK_generic,0,generic Resistor 0402 (1005 Metric) 430 kΩ 1 % 100 ppm/K,,R,430 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,430 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_430k0_F_100ppmK_Yageo_RC0402FR-07430KL, R_0402_430k0_F_100ppmK_VishayDale_CRCW0402430KFKED, R_0402_430k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT430K"
Passive Component / Resistor / Metal thickfilm,specific,R_0402_430k0_F_100ppmK_Yageo_RC0402FR-07430KL,0,Resistor 0402 (1005 Metric) 430 kΩ 1 % 100 ppm/K,,R,430 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,430 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RC0402FR-07430KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,311-430KLRCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_430k0_F_100ppmK_VishayDale_CRCW0402430KFKED,0,Resistor 0402 (1005 Metric) 430 kΩ 1 % 100 ppm/K,,R,430 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,430 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402430KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-430KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_430k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT430K,0,Resistor 0402 (1005 Metric) 430 kΩ 1 % 100 ppm/K,,R,430 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,430 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT430K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT430KCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_0402_470k0_F_100ppmK_generic,0,generic Resistor 0402 (1005 Metric) 470 kΩ 1 % 100 ppm/K,,R,470 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,470 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_470k0_F_100ppmK_Yageo_RC0402FR-07470KL, R_0402_470k0_F_100ppmK_VishayDale_CRCW0402470KFKED, R_0402_470k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT470K"
Passive Component / Resistor / Metal thickfilm,specific,R_0402_470k0_F_100ppmK_Yageo_RC0402FR-07470KL,0,Resistor 0402 (1005 Metric) 470 kΩ 1 % 100 ppm/K,,R,470 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,470 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RC0402FR-07470KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,311-470KLRCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_470k0_F_100ppmK_VishayDale_CRCW0402470KFKED,0,Resistor 0402 (1005 Metric) 470 kΩ 1 % 100 ppm/K,,R,470 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,470 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402470KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-470KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_470k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT470K,0,Resistor 0402 (1005 Metric) 470 kΩ 1 % 100 ppm/K,,R,470 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,470 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT470K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT470KCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_0402_510k0_F_100ppmK_generic,0,generic Resistor 0402 (1005 Metric) 510 kΩ 1 % 100 ppm/K,,R,510 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,510 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_510k0_F_100ppmK_Yageo_RC0402FR-07510KL, R_0402_510k0_F_100ppmK_VishayDale_CRCW0402510KFKED, R_0402_510k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT510K"
Passive Component / Resistor / Metal thickfilm,specific,R_0402_510k0_F_100ppmK_Yageo_RC0402FR-07510KL,0,Resistor 0402 (1005 Metric) 510 kΩ 1 % 100 ppm/K,,R,510 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,510 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RC0402FR-07510KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,311-510KLRCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_510k0_F_100ppmK_VishayDale_CRCW0402510KFKED,0,Resistor 0402 (1005 Metric) 510 kΩ 1 % 100 ppm/K,,R,510 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,510 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402510KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-510KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_510k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT510K,0,Resistor 0402 (1005 Metric) 510 kΩ 1 % 100 ppm/K,,R,510 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,510 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT510K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT510KCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,generic,R_0402_560k0_F_100ppmK_generic,0,generic Resistor 0402 (1005 Metric) 560 kΩ 1 % 100 ppm/K,,R,560 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,560 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,"PACKAGE, TOLERANCE",,,,,,,,,"R_0402_560k0_F_100ppmK_Yageo_RC0402FR-07560KL, R_0402_560k0_F_100ppmK_VishayDale_CRCW0402560KFKED, R_0402_560k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT560K"
Passive Component / Resistor / Metal thickfilm,specific,R_0402_560k0_F_100ppmK_Yageo_RC0402FR-07560KL,0,Resistor 0402 (1005 Metric) 560 kΩ 1 % 100 ppm/K,,R,560 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,560 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Yageo,RC0402FR-07560KL,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,Version 12 - 2022-08-02,RoHS3 2015/863,DIGIKEY,311-560KLRCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_560k0_F_100ppmK_VishayDale_CRCW0402560KFKED,0,Resistor 0402 (1005 Metric) 560 kΩ 1 % 100 ppm/K,,R,560 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,560 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Vishay Dale,CRCW0402560KFKED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,2025-06-02,RoHS3 2015/863,DIGIKEY,541-560KLCT-ND,ACTIVE,
Passive Component / Resistor / Metal thickfilm,specific,R_0402_560k0_F_100ppmK_StackpoleElectronicsInc_RMCF0402FT560K,0,Resistor 0402 (1005 Metric) 560 kΩ 1 % 100 ppm/K,,R,560 kΩ,Device:R,Resistor_SMD:R_0402_1005Metric,0402,0.4 mm,560 kΩ,1 %,100 ppm/K,70 °C,-55 °C,155 °C,50 V,-,0.063 W,SMT,,,2025-08-06 BLU,,,Stackpole Electronics Inc.,RMCF0402FT560K,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2025-05-01,RoHS3 2015/863,DIGIKEY,RMCF0402FT560KCT-ND,ACTIVE,
